06:09.15 | EXIF time read image006.jpg
06:09.25 | Image load success image005.jpg
06:09.35 | Image load success image006.jpg
06:10.70 | Match count 871
06:10.70 | Speed calculated image005.jpg - image006.jpg - 7.3348
06:10.70 | Pair started image005.jpg - image007.jpg
06:10.70 | EXIF time read image005.jpg
06:10.71 | EXIF time read image007.jpg
06:10.71 | Pair skipped - Invalid dt
06:10.71 | Pair started image006.jpg - image007.jpg
06:10.71 | EXIF time read image006.jpg
06:10.72 | EXIF time read image007.jpg
06:10.81 | Image load success image006.jpg
06:10.91 | Image load success image007.jpg
06:12.27 | Match count 839
06:12.28 | Speed calculated image006.jpg - image007.jpg - 7.4631
06:12.28 | Pair started image006.jpg - image008.jpg
06:12.28 | EXIF time read image006.jpg
06:12.29 | EXIF time read image008.jpg
06:12.29 | Pair skipped - Invalid dt
06:12.29 | Pair started image007.jpg - image008.jpg
06:12.29 | EXIF time read image007.jpg
06:12.29 | EXIF time read image008.jpg
06:12.39 | Image load success image007.jpg
06:12.49 | Image load success image008.jpg
06:13.87 | Match count 934
06:13.87 | Speed calculated image007.jpg - image008.jpg - 7.1589
06:13.87 | Pair started image007.jpg - image009.jpg
06:13.87 | EXIF time read image007.jpg
06:13.88 | EXIF time read image009.jpg
06:13.88 | Pair skipped - Invalid dt
06:13.88 | Pair started image008.jpg - image009.jpg
06:13.88 | EXIF time read image008.jpg
06:13.89 | EXIF time read image009.jpg
06:13.99 | Image load success image008.jpg
06:14.09 | Image load success image009.jpg
06:15.48 | Match count 891
06:15.48 | Speed calculated image008.jpg - image009.jpg - 8.8735
06:15.48 | Pair started image008.jpg - image010.jpg
06:15.49 | EXIF time read image008.jpg
06:15.49 | EXIF time read image010.jpg
06:15.49 | Pair skipped - Invalid dt
06:15.49 | Pair started image009.jpg - image010.jpg
06:15.50 | EXIF time read image009.jpg
06:15.50 | EXIF time read image010.jpg
06:15.60 | Image load success image009.jpg
06:15.70 | Image load success image010.jpg
06:17.10 | Match count 895
06:17.11 | Speed calculated image009.jpg - image010.jpg - 7.0706
06:17.11 | Pair started image009.jpg - image011.jpg
06:17.11 | EXIF time read image009.jpg
06:17.11 | EXIF time read image011.jpg
06:17.12 | Pair skipped - Invalid dt
06:17.12 | Pair started image010.jpg - image011.jpg
06:17.12 | EXIF time read image010.jpg
06:17.12 | EXIF time read image011.jpg
06:17.22 | Image load success image010.jpg
06:17.32 | Image load success image011.jpg
06:18.74 | Match count 893
06:18.74 | Speed calculated image010.jpg - image011.jpg - 7.0211
06:18.74 | Pair started image010.jpg - image012.jpg
06:18.74 | EXIF time read image010.jpg
06:18.75 | EXIF time read image012.jpg
06:18.75 | Pair skipped - Invalid dt
06:18.75 | Pair started image011.jpg - image012.jpg
06:18.75 | EXIF time read image011.jpg
06:18.76 | EXIF time read image012.jpg
06:18.86 | Image load success image011.jpg
06:18.96 | Image load success image012.jpg
06:20.37 | Match count 941
06:20.37 | Speed calculated image011.jpg - image012.jpg - 6.9888
06:20.37 | Pair started image011.jpg - image013.jpg
06:20.38 | EXIF time read image011.jpg
06:20.38 | EXIF time read image013.jpg
06:20.38 | Pair skipped - Invalid dt
06:20.38 | Pair started image012.jpg - image013.jpg
06:20.39 | EXIF time read image012.jpg
06:20.39 | EXIF time read image013.jpg
06:20.49 | Image load success image012.jpg
06:20.59 | Image load success image013.jpg
06:21.99 | Match count 962
06:22.00 | Speed calculated image012.jpg - image013.jpg - 8.5262
06:22.00 | Pair started image012.jpg - image014.jpg
06:22.00 | EXIF time read image012.jpg
06:22.01 | EXIF time read image014.jpg
06:22.01 | Pair skipped - Invalid dt
06:22.01 | Pair started image013.jpg - image014.jpg
06:22.01 | EXIF time read image013.jpg
06:22.01 | EXIF time read image014.jpg
06:22.11 | Image load success image013.jpg
06:22.21 | Image load success image014.jpg
06:23.60 | Match count 950
06:23.61 | Speed calculated image013.jpg - image014.jpg - 7.3764
06:23.61 | Pair started image013.jpg - image015.jpg
06:23.61 | EXIF time read image013.jpg
06:23.61 | EXIF time read image015.jpg
06:23.62 | Pair skipped - Invalid dt
06:23.62 | Pair started image014.jpg - image015.jpg
06:23.62 | EXIF time read image014.jpg
06:23.62 | EXIF time read image015.jpg
06:23.72 | Image load success image014.jpg
06:23.82 | Image load success image015.jpg
06:25.19 | Match count 904
06:25.19 | Speed calculated image014.jpg - image015.jpg - 7.1375
06:25.19 | Pair started image014.jpg - image016.jpg
06:25.19 | EXIF time read image014.jpg
06:25.20 | EXIF time read image016.jpg
06:25.20 | Pair skipped - Invalid dt
06:25.20 | Pair started image015.jpg - image016.jpg
06:25.20 | EXIF time read image015.jpg
06:25.21 | EXIF time read image016.jpg
06:25.31 | Image load success image015.jpg
06:25.40 | Image load success image016.jpg
06:26.75 | Match count 901
06:26.75 | Speed rejected - Invalid distance
06:26.75 | Pair started image015.jpg - image017.jpg
06:26.75 | EXIF time read image015.jpg
06:26.76 | EXIF time read image017.jpg
06:26.76 | Pair skipped - Invalid dt
06:26.76 | Pair started image016.jpg - image017.jpg
06:26.77 | EXIF time read image016.jpg
06:26.77 | EXIF time read image017.jpg
06:26.87 | Image load success image016.jpg
06:26.96 | Image load success image017.jpg
06:28.28 | Match count 941
06:28.28 | Speed calculated image016.jpg - image017.jpg - 6.8097
06:28.28 | Pair started image016.jpg - image018.jpg
