00:00.00 | START
00:02.41 | Image taken 1
00:02.41 | Image capture success 1
00:07.10 | Image taken 2
00:07.10 | Image capture success 2
00:12.00 | Image taken 3
00:12.00 | Image capture success 3
00:16.69 | Image taken 4
00:16.69 | Image capture success 4
00:21.49 | Image taken 5
00:21.49 | Image capture success 5
00:26.24 | Image taken 6
00:26.24 | Image capture success 6
00:30.93 | Image taken 7
00:30.93 | Image capture success 7
00:35.84 | Image taken 8
00:35.84 | Image capture success 8
00:40.53 | Image taken 9
00:40.54 | Image capture success 9
00:45.45 | Image taken 10
00:45.45 | Image capture success 10
00:50.14 | Image taken 11
00:50.14 | Image capture success 11
00:54.94 | Image taken 12
00:54.94 | Image capture success 12
00:59.69 | Image taken 13
00:59.69 | Image capture success 13
01:04.39 | Image taken 14
01:04.39 | Image capture success 14
01:09.31 | Image taken 15
01:09.31 | Image capture success 15
01:13.99 | Image taken 16
01:13.99 | Image capture success 16
01:18.89 | Image taken 17
01:18.89 | Image capture success 17
01:23.57 | Image taken 18
01:23.57 | Image capture success 18
01:28.37 | Image taken 19
01:28.37 | Image capture success 19
01:33.11 | Image taken 20
01:33.11 | Image capture success 20
01:37.78 | Image taken 21
01:37.78 | Image capture success 21
01:42.71 | Image taken 22
01:42.71 | Image capture success 22
01:47.38 | Image taken 23
01:47.38 | Image capture success 23
01:52.27 | Image taken 24
01:52.27 | Image capture success 24
01:56.94 | Image taken 25
01:56.94 | Image capture success 25
02:01.84 | Image taken 26
02:01.84 | Image capture success 26
02:06.51 | Image taken 27
02:06.51 | Image capture success 27
02:11.41 | Image taken 28
02:11.42 | Image capture success 28
02:16.09 | Image taken 29
02:16.09 | Image capture success 29
02:20.98 | Image taken 30
02:20.98 | Image capture success 30
02:25.65 | Image taken 31
02:25.65 | Image capture success 31
02:30.56 | Image taken 32
02:30.56 | Image capture success 32
02:35.23 | Image taken 33
02:35.23 | Image capture success 33
02:40.13 | Image taken 34
02:40.13 | Image capture success 34
02:44.80 | Image taken 35
02:44.80 | Image capture success 35
02:49.70 | Image taken 36
02:49.70 | Image capture success 36
02:54.37 | Image taken 37
02:54.37 | Image capture success 37
02:59.04 | Image taken 38
02:59.04 | Image capture success 38
03:03.92 | Image taken 39
03:03.92 | Image capture success 39
03:08.60 | Image taken 40
03:08.60 | Image capture success 40
